# ══════════════════════════════════════════════════════════════════════════════
# adv0101 — The Crystal of Light · Chapter 01: Guild Initiation
# ══════════════════════════════════════════════════════════════════════════════

@columns	id	speaker	cmd	en	zh	ja	de	es

@chapter	01	Guild Initiation	公会入团	ギルドへの入団	Gildeneintritt	Iniciación en el gremio	N5
@artifact	🏅	Apprentice Badge	は・です・か・も

@story_intro	The Crystal of Light has disappeared. Strange things are happening. The Adventurer Guild is looking for a new apprentice. That is you.	光之水晶消失了。奇怪的事情正在发生。冒险者公会在寻找新学徒。那就是你。	光のクリスタルが消えた。王国では不思議なことが起きている。冒険者ギルドが新しい見習いを探している。それが、あなただ。	Das Kristall des Lichts ist verschwunden. Seltsame Dinge geschehen. Die Abenteurergilde sucht einen neuen Lehrling. Das bist du.	El Cristal de Luz ha desaparecido. Cosas extrañas están sucediendo. El gremio de aventureros busca un nuevo aprendiz. Ese eres tú.
@story_outro	You have become a guild apprentice. You still know nothing. But the journey has already begun.	你成为了公会的学徒。你还什么都不知道。但旅程已经开始了。	あなたはギルドの見習いになった。まだ何もわからない。でも、旅はもう始まっている。	Du bist ein Gildenlehrling geworden. Du weißt noch nichts. Aber die Reise hat bereits begonnen.	Te has convertido en aprendiz del gremio. Todavía no sabes nada. Pero el viaje ya ha comenzado.


# ── Section 1: Meeting the Guild Master ───────────────────────────────────────
@section	01	Meeting the Guild Master	与公会长见面	ギルドマスターとの出会い	Treffen mit dem Gildemaster	Conociendo al maestro del gremio
@vocab	こんにちは	ありがとう	はい	いいえ	わたし	なまえ	ひと	がくせい	せんせい	ともだち	にほん	どこ	なに	いくら	おはようございます	こんばんは	すみません	はじめまして
@grammar	adv-ja-g-001	adv-ja-g-002	adv-ja-g-003

adv010101-01	narrator		This is the guild.	这是公会。	ここはギルドです。	Das ist die Gilde.	Este es el gremio.
adv010101-02	narrator		There are many adventurers here.	这里有很多冒险者。	ここには冒険者がたくさんいます。	Hier gibt es viele Abenteurer.	Aquí hay muchos aventureros.
adv010101-03	guild_master		Hello! I am Leon.	你好！我是里昂。	こんにちは！わたしはレオンです。	Hallo! Ich bin Leon.	¡Hola! Soy León.
adv010101-04	guild_master		I am the guild master.	我是公会长。	わたしはギルドマスターです。	Ich bin der Gildemaster.	Soy el maestro del gremio.
adv010101-05	guild_master		Are you the new apprentice?	你是新来的学徒吗？	あなたは新しい見習いですか？	Bist du der neue Lehrling?	¿Eres el nuevo aprendiz?

adv010101-06a	player		Yes. I am Alex.	是的。我是阿历克斯。	はい。わたしはアレックスです。	Ja. Ich bin Alex.	Sí. Soy Alex.
adv010101-06b	player		...	……	…	…	…

adv010101-07a	guild_master		Alex! Good name. Welcome.	阿历克斯！好名字。欢迎！	アレックス！いい名前です。ようこそ。	Alex! Guter Name. Willkommen.	¡Alex! Buen nombre. Bienvenido.
adv010101-07b	guild_master		That is fine too. Welcome.	这也没关系。欢迎！	それもいいです。ようこそ。	Das ist auch gut. Willkommen.	Eso también está bien. Bienvenido.

adv010101-08	guild_master		Emma is also an apprentice.	艾玛也是学徒。	エマも見習いです。	Emma ist auch ein Lehrling.	Emma también es aprendiz.
adv010101-09	emma		Hello! Nice to meet you.	你好！很高兴认识你。	こんにちは！はじめまして。	Hallo! Schön, dich kennenzulernen.	¡Hola! Encantada de conocerte.
adv010101-10	emma		I am also a new apprentice.	我也是新来的学徒。	わたしも新しい見習いです。	Ich bin auch ein neuer Lehrling.	Yo también soy una nueva aprendiz.

adv010101-11q	question		Who is Leon?	里昂是谁？	レオンは誰ですか？	Wer ist Leon?	¿Quién es León?
adv010101-12a	option	correct	The guild master.	公会长。	ギルドマスターです。	Der Gildemaster.	El maestro del gremio.
adv010101-12b	option		An apprentice.	学徒。	見習いです。	Ein Lehrling.	Un aprendiz.
adv010101-12c	option		A villager.	村民。	村人です。	Ein Dorfbewohner.	Un aldeano.


# ── Section 1 Passage ─────────────────────────────────────────────────────────
@passage	01	Morning at the Guild	公会的早晨	ギルドの朝	Morgen in der Gilde	Mañana en el gremio

@passage_line	This is the guild.	这是公会。	ここはギルドです。	Das ist die Gilde.	Este es el gremio.
